Entry Date,Exit Date,Direction,Entry Mode,Entry,Exit,SL,P&L (pts),P&L (Rs),Lot,Exit Reason,Option,Strike,Entry Prem,Exit Prem,Delta,Opt P&L (pts),Opt P&L (Rs)
2015-01-12,2015-01-14,long,eod,8326.55,8243.28,8243.28,-83.27,-4163.27,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-15,2015-01-23,long,eod,8461.15,8823.55,8376.54,362.4,18120.0,50,time_exit,,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-27,2015-01-30,long,eod,8904.2,8815.16,8815.16,-89.04,-4452.1,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-03,2015-02-05,short,eod,8746.65,8834.12,8834.12,-87.47,-4373.33,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-06,2015-02-13,short,eod,8666.0,8752.66,8752.66,-86.66,-4333.0,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-19,2015-02-23,long,eod,8898.35,8809.37,8809.37,-88.98,-4449.18,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-26,2015-02-27,short,eod,8694.65,8781.6,8781.6,-86.95,-4347.33,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-28,2015-03-09,long,eod,8920.75,8831.54,8831.54,-89.21,-4460.38,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-10,2015-03-13,short,eod,8725.6,8812.86,8812.86,-87.26,-4362.8,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-17,2015-03-19,long,eod,8722.35,8635.13,8635.13,-87.22,-4361.18,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-20,2015-03-27,short,eod,8584.85,8348.05,8670.7,236.8,11840.0,50,time_exit,,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-30,2015-04-08,long,eod,8501.35,8717.35,8416.34,216.0,10800.0,50,time_exit,,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-09,2015-04-16,long,eod,8774.25,8686.51,8686.51,-87.74,-4387.13,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-17,2015-04-24,short,eod,8602.05,8320.15,8688.07,281.9,14095.0,50,time_exit,,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-27,2015-04-28,short,eod,8203.15,8285.18,8285.18,-82.03,-4101.58,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-30,2015-05-04,short,eod,8204.95,8287.0,8287.0,-82.05,-4102.48,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-06,2015-05-08,short,eod,8092.45,8173.37,8173.37,-80.92,-4046.23,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-11,2015-05-12,long,eod,8320.05,8236.85,8236.85,-83.2,-4160.03,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-15,2015-05-22,long,eod,8254.75,8448.35,8172.2,193.6,9680.0,50,time_exit,,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-25,2015-06-01,short,eod,8366.9,8450.57,8450.57,-83.67,-4183.45,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-02,2015-06-09,short,eod,8232.25,8015.45,8314.57,216.8,10840.0,50,time_exit,,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-10,2015-06-11,long,eod,8125.5,8044.24,8044.24,-81.26,-4062.75,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-15,2015-06-22,long,eod,8006.15,8352.3,7926.09,346.15,17307.5,50,time_exit,,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-23,2015-06-29,long,eod,8381.1,8297.29,8297.29,-83.81,-4190.55,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-30,2015-07-07,long,eod,8371.6,8516.95,8287.88,145.35,7267.5,50,time_exit,,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-08,2015-07-13,short,eod,8354.65,8438.2,8438.2,-83.55,-4177.33,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-15,2015-07-22,long,eod,8526.0,8631.65,8440.74,105.65,5282.5,50,time_exit,,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-24,2015-07-31,short,eod,8527.1,8530.95,8612.37,-3.85,-192.5,50,time_exit,,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-05,2015-08-11,long,eod,8567.05,8481.38,8481.38,-85.67,-4283.53,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-12,2015-08-14,short,eod,8353.95,8437.49,8437.49,-83.54,-4176.98,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-20,2015-08-27,short,eod,8387.2,7960.25,8471.07,426.95,21347.5,50,time_exit,,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-28,2015-09-01,long,eod,7995.75,7915.79,7915.79,-79.96,-3997.88,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-02,2015-09-03,short,eod,7727.65,7804.93,7804.93,-77.28,-3863.82,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-04,2015-09-09,short,eod,7655.95,7732.51,7732.51,-76.56,-3827.98,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-14,2015-09-22,long,eod,7867.85,7789.17,7789.17,-78.68,-3933.92,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-28,2015-09-29,short,eod,7802.45,7880.47,7880.47,-78.02,-3901.23,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-30,2015-10-08,long,eod,7947.25,8127.7,7867.78,180.45,9022.5,50,time_exit,,0.0,0.0,0.0,0.0,0.0,0.0
2015-10-13,2015-10-16,short,eod,8128.15,8209.43,8209.43,-81.28,-4064.08,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-10-19,2015-10-27,long,eod,8271.55,8227.85,8188.83,-43.7,-2185.0,50,time_exit,,0.0,0.0,0.0,0.0,0.0,0.0
2015-10-28,2015-11-04,short,eod,8177.2,8030.35,8258.97,146.85,7342.5,50,time_exit,,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-05,2015-11-13,short,eod,7947.95,7761.1,8027.43,186.85,14013.75,75,time_exit,,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-16,2015-11-18,long,eod,7808.65,7730.56,7730.56,-78.09,-5856.49,75,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-19,2015-11-27,long,eod,7844.75,7945.65,7766.3,100.9,7567.5,75,time_exit,,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-02,2015-12-09,short,eod,7924.25,7618.25,8003.49,306.0,22950.0,75,time_exit,,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-11,2015-12-15,short,eod,7610.1,7686.2,7686.2,-76.1,-5707.57,75,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-16,2015-12-23,long,eod,7751.65,7862.5,7674.13,110.85,8313.75,75,time_exit,,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-28,2016-01-04,long,eod,7917.4,7838.23,7838.23,-79.17,-5938.05,75,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-05,2016-01-12,short,eod,7779.0,7510.65,7856.79,268.35,20126.25,75,time_exit,,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-15,2016-01-22,short,eod,7433.95,7422.9,7508.29,11.05,828.75,75,time_exit,,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-25,2016-02-02,long,eod,7436.4,7440.7,7362.04,4.3,322.5,75,time_exit,,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-03,2016-02-04,short,eod,7373.3,7447.03,7447.03,-73.73,-5529.98,75,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-05,2016-02-08,long,eod,7500.1,7425.1,7425.1,-75.0,-5625.08,75,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-09,2016-02-16,short,eod,7301.0,7044.6,7374.01,256.4,19230.0,75,time_exit,,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-18,2016-02-23,long,eod,7178.5,7106.72,7106.72,-71.78,-5383.87,75,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-24,2016-02-29,short,eod,7020.45,7090.65,7090.65,-70.2,-5265.34,75,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-01,2016-03-09,long,eod,7228.55,7532.5,7156.26,303.95,22796.25,75,time_exit,,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-15,2016-03-17,short,eod,7463.1,7537.73,7537.73,-74.63,-5597.33,75,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-18,2016-03-29,long,eod,7600.6,7593.0,7524.59,-7.6,-570.0,75,time_exit,,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-30,2016-04-05,long,eod,7737.05,7659.68,7659.68,-77.37,-5802.79,75,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-07,2016-04-11,short,eod,7542.15,7617.57,7617.57,-75.42,-5656.61,75,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-12,2016-04-22,long,eod,7709.15,7902.55,7632.06,193.4,14505.0,75,time_exit,,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-25,2016-04-26,short,eod,7864.85,7943.5,7943.5,-78.65,-5898.64,75,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-27,2016-04-28,long,eod,7976.75,7896.98,7896.98,-79.77,-5982.56,75,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-03,2016-05-09,short,eod,7742.75,7820.18,7820.18,-77.43,-5807.06,75,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-10,2016-05-11,long,eod,7889.9,7811.0,7811.0,-78.9,-5917.43,75,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-12,2016-05-13,long,eod,7905.2,7826.15,7826.15,-79.05,-5928.9,75,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-17,2016-05-19,long,eod,7887.5,7808.62,7808.62,-78.88,-5915.62,75,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-20,2016-05-25,short,eod,7760.0,7837.6,7837.6,-77.6,-5820.0,75,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-26,2016-06-02,long,eod,8077.95,8216.95,7997.17,139.0,10425.0,75,time_exit,,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-06,2016-06-07,short,eod,8205.45,8287.5,8287.5,-82.05,-6154.09,75,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-09,2016-06-16,short,eod,8200.05,8131.1,8282.05,68.95,5171.25,75,time_exit,,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-20,2016-06-24,long,eod,8235.25,8152.9,8152.9,-82.35,-6176.44,75,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-28,2016-07-05,long,eod,8127.05,8329.65,8045.78,202.6,15195.0,75,time_exit,,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-11,2016-07-18,long,eod,8469.95,8497.35,8385.25,27.4,2055.0,75,time_exit,,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-20,2016-07-27,long,eod,8566.65,8609.35,8480.98,42.7,3202.5,75,time_exit,,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-28,2016-08-03,long,eod,8666.2,8579.54,8579.54,-86.66,-6499.65,75,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-05,2016-08-10,long,eod,8679.3,8592.51,8592.51,-86.79,-6509.47,75,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-12,2016-08-22,long,eod,8656.0,8626.9,8569.44,-29.1,-2182.5,75,time_exit,,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-24,2016-08-26,long,eod,8647.6,8561.12,8561.12,-86.48,-6485.7,75,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-30,2016-09-07,long,eod,8745.1,8923.95,8657.65,178.85,13413.75,75,time_exit,,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-09,2016-09-19,short,eod,8864.6,8809.05,8953.25,55.55,4166.25,75,time_exit,,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-20,2016-09-22,short,eod,8774.05,8861.79,8861.79,-87.74,-6580.54,75,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
