Entry Date,Exit Date,Direction,Entry Mode,Entry,Exit,SL,P&L (pts),P&L (Rs),Lot,Exit Reason,Option,Strike,Entry Prem,Exit Prem,Delta,Opt P&L (pts),Opt P&L (Rs)
2015-01-12,2015-01-14,long,eod,8326.55,8331.58,8331.58,5.03,251.5,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-15,2015-01-27,long,eod,8461.15,8839.55,8839.55,378.4,18920.08,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-30,2015-02-03,short,eod,8821.45,8777.7,8777.7,43.75,2187.28,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-04,2015-02-06,short,eod,8713.95,8710.0,8710.0,3.95,197.41,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-09,2015-02-11,short,eod,8518.3,8497.47,8497.47,20.83,1041.69,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-12,2015-02-16,long,eod,8728.4,8795.23,8795.23,66.83,3341.75,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-19,2015-02-24,long,eod,8898.35,8729.28,8729.28,-169.07,-8453.43,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-26,2015-02-28,short,eod,8694.65,8859.85,8859.85,-165.2,-8259.92,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-02,2015-03-04,long,eod,8961.55,8981.23,8981.23,19.68,983.76,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-09,2015-03-11,short,eod,8743.25,8703.63,8703.63,39.62,1980.86,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-12,2015-03-16,long,eod,8771.4,8817.52,8817.52,46.12,2305.89,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-17,2015-03-19,long,eod,8722.35,8720.16,8720.16,-2.19,-109.46,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-20,2015-03-24,short,eod,8584.85,8566.37,8566.37,18.48,923.89,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-25,2015-03-27,short,eod,8517.0,8351.33,8351.33,165.67,8283.55,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-30,2015-04-01,long,eod,8501.35,8524.3,8524.3,22.95,1147.51,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-06,2015-04-09,long,eod,8652.0,8703.96,8703.96,51.96,2597.98,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-13,2015-04-16,long,eod,8825.9,8818.22,8818.22,-7.68,-384.21,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-17,2015-04-21,short,eod,8602.05,8448.47,8448.47,153.58,7679.02,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-24,2015-04-28,short,eod,8320.15,8227.71,8227.71,92.44,4622.04,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-30,2015-05-07,short,eod,8204.95,8107.6,8107.6,97.35,4867.5,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-08,2015-05-12,long,eod,8190.3,8307.7,8307.7,117.4,5870.09,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-15,2015-05-19,long,eod,8254.75,8359.2,8359.2,104.45,5222.35,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-22,2015-05-27,long,eod,8448.35,8287.83,8287.83,-160.52,-8025.93,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-29,2015-06-02,long,eod,8432.95,8441.65,8441.65,8.7,434.94,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-03,2015-06-05,short,eod,8148.55,8081.47,8081.47,67.08,3353.91,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-08,2015-06-10,short,eod,8036.95,8029.52,8029.52,7.43,371.68,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-11,2015-06-15,short,eod,7964.85,7964.77,7964.77,0.08,3.86,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-17,2015-06-23,long,eod,8089.7,8344.24,8344.24,254.54,12727.1,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-29,2015-07-01,short,eod,8326.4,8324.0,8324.0,2.4,120.14,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-03,2015-07-07,long,eod,8486.35,8506.5,8506.5,20.15,1007.69,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-08,2015-07-10,short,eod,8354.65,8347.97,8347.97,6.68,334.05,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-13,2015-07-20,long,eod,8461.4,8616.72,8616.72,155.32,7766.1,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-21,2015-07-23,short,eod,8531.9,8525.05,8525.05,6.85,342.57,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-24,2015-07-28,short,eod,8527.1,8377.56,8377.56,149.54,7477.13,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-30,2015-08-03,long,eod,8429.05,8523.2,8523.2,94.15,4707.67,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
