Entry Date,Exit Date,Direction,Entry Mode,Entry,Exit,SL,P&L (pts),P&L (Rs),Lot,Exit Reason,Option,Strike,Entry Prem,Exit Prem,Delta,Opt P&L (pts),Opt P&L (Rs)
2015-01-12,2015-01-13,long,intraday,8308.9,8307.25,8307.25,-1.65,-82.34,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-14,2015-01-15,short,intraday,8245.9,8261.46,8261.46,-15.56,-778.01,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-19,2015-01-27,long,intraday,8553.4,8839.55,8839.55,286.15,14307.58,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-28,2015-01-29,long,intraday,8928.65,8958.09,8958.09,29.44,1472.24,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-30,2015-01-30,long,intraday,8996.6,8789.68,8789.68,-206.92,-10346.09,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-02,2015-02-03,short,intraday,8775.4,8777.7,8777.7,-2.3,-115.22,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-04,2015-02-05,short,intraday,8722.15,8730.81,8730.81,-8.66,-433.2,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-06,2015-02-10,short,intraday,8683.1,8541.9,8541.9,141.2,7060.05,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-12,2015-02-16,long,intraday,8676.95,8795.23,8795.23,118.28,5914.25,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-18,2015-02-19,long,intraday,8871.05,8867.22,8867.22,-3.83,-191.58,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-23,2015-02-24,short,intraday,8814.5,8763.46,8763.46,51.04,2551.91,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-25,2015-02-26,long,intraday,8802.65,8813.98,8813.98,11.33,566.42,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-27,2015-02-28,long,intraday,8790.6,8830.38,8830.38,39.78,1988.96,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-02,2015-03-03,long,intraday,8954.6,8944.78,8944.78,-9.82,-490.75,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-04,2015-03-04,long,intraday,9109.15,8899.64,8899.64,-209.51,-10475.52,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-05,2015-03-09,short,intraday,8867.8,8876.0,8876.0,-8.2,-409.92,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-10,2015-03-11,short,intraday,8738.6,8703.63,8703.63,34.97,1748.36,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-12,2015-03-13,long,intraday,8766.85,8759.84,8759.84,-7.01,-350.43,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-16,2015-03-17,short,intraday,8625.2,8637.99,8637.99,-12.79,-639.32,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-18,2015-03-19,long,intraday,8742.9,8720.16,8720.16,-22.74,-1136.96,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-20,2015-03-23,short,intraday,8607.55,8578.96,8578.96,28.59,1429.51,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-24,2015-03-25,short,intraday,8537.05,8562.56,8562.56,-25.51,-1275.54,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-26,2015-03-27,short,intraday,8474.95,8351.33,8351.33,123.62,6181.05,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-30,2015-03-31,long,intraday,8411.85,8478.74,8478.74,66.89,3344.36,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
