Entry Date,Exit Date,Direction,Entry Mode,Entry,Exit,SL,P&L (pts),P&L (Rs),Lot,Exit Reason,Option,Strike,Entry Prem,Exit Prem,Delta,Opt P&L (pts),Opt P&L (Rs)
2015-01-12,2015-01-20,long,intraday,8308.9,8691.25,8225.81,382.35,19117.5,50,time_exit,call,8273.64,98.29,420.33,0.6,322.04,16101.92
2015-01-21,2015-01-29,long,intraday,8719.65,8950.2,8632.45,230.55,11527.5,50,time_exit,call,8678.23,113.22,275.16,0.6,161.94,8096.87
2015-01-30,2015-01-30,long,intraday,8996.6,8906.63,8906.63,-89.97,-4498.3,50,stop_loss,call,8946.93,132.74,85.13,0.6,-47.61,-2380.66
2015-02-02,2015-02-09,short,intraday,8775.4,8518.3,8863.15,257.1,12855.0,50,time_exit,put,8852.18,136.15,331.21,-0.6,195.06,9752.87
2015-02-10,2015-02-10,short,intraday,8478.1,8562.88,8562.88,-84.78,-4239.05,50,stop_loss,put,8554.88,136.67,91.47,-0.6,-45.2,-2259.94
2015-02-12,2015-02-20,long,intraday,8676.95,8827.7,8590.18,150.75,7537.5,50,time_exit,call,8629.08,127.96,204.89,0.6,76.92,3846.15
2015-02-23,2015-02-28,short,intraday,8814.5,8902.64,8902.64,-88.15,-4407.25,50,stop_loss,put,8895.86,145.1,52.11,-0.6,-92.99,-4649.58
2015-03-02,2015-03-05,long,intraday,8954.6,8865.05,8865.05,-89.55,-4477.3,50,stop_loss,call,8917.34,104.25,38.51,0.6,-65.73,-3286.63
2015-03-09,2015-03-16,short,intraday,8831.15,8639.6,8919.46,191.55,9577.5,50,time_exit,put,8892.63,105.67,250.35,-0.6,144.68,7234.09
2015-03-17,2015-03-20,long,intraday,8689.1,8602.21,8602.21,-86.89,-4344.55,50,stop_loss,call,8654.95,96.62,34.18,0.6,-62.45,-3122.3
2015-03-23,2015-03-30,short,intraday,8549.9,8501.35,8635.4,48.55,2427.5,50,time_exit,put,8604.39,92.2,106.29,-0.6,14.09,704.42
2015-03-31,2015-04-09,long,intraday,8527.6,8774.25,8442.32,246.65,12332.5,50,time_exit,call,8495.84,90.87,281.24,0.6,190.37,9518.27
2015-04-13,2015-04-16,long,intraday,8801.75,8713.73,8713.73,-88.02,-4400.87,50,stop_loss,call,8768.97,93.79,38.18,0.6,-55.61,-2780.63
2015-04-17,2015-04-24,short,intraday,8644.0,8320.15,8730.44,323.85,16192.5,50,time_exit,put,8701.62,98.32,378.62,-0.6,280.29,14014.71
2015-04-27,2015-05-05,short,intraday,8272.35,8355.07,8355.07,-82.72,-4136.18,50,stop_loss,put,8339.31,117.66,37.52,-0.6,-80.13,-4006.67
2015-05-06,2015-05-13,short,intraday,8275.05,8237.4,8357.8,37.65,1882.5,50,time_exit,put,8345.04,123.65,117.72,-0.6,-5.92,-296.12
2015-05-15,2015-05-22,long,intraday,8240.3,8448.35,8157.9,208.05,10402.5,50,time_exit,call,8195.71,119.51,256.15,0.6,136.63,6831.67
2015-05-25,2015-06-01,short,intraday,8419.05,8422.55,8503.24,-3.5,-175.0,50,time_exit,put,8481.29,107.99,75.99,-0.6,-32.0,-1600.22
2015-06-02,2015-06-09,short,intraday,8383.45,8015.45,8467.28,368.0,18400.0,50,time_exit,put,8445.07,106.82,426.84,-0.6,320.02,16000.93
2015-06-10,2015-06-11,long,intraday,8076.9,7996.13,7996.13,-80.77,-4038.45,50,stop_loss,call,8040.14,101.21,53.45,0.6,-47.76,-2388.02
2015-06-12,2015-06-15,short,intraday,7957.8,8037.38,8037.38,-79.58,-3978.9,50,stop_loss,put,8018.32,105.45,59.06,-0.6,-46.38,-2319.17
2015-06-17,2015-06-24,long,intraday,8084.2,8339.85,8003.36,255.65,12782.5,50,time_exit,call,8048.3,99.26,294.25,0.6,194.99,9749.72
2015-06-25,2015-06-25,short,intraday,8336.25,8419.61,8419.61,-83.36,-4168.12,50,stop_loss,put,8394.67,100.52,57.93,-0.6,-42.59,-2129.32
2015-06-29,2015-06-30,short,intraday,8247.05,8329.52,8329.52,-82.47,-4123.52,50,stop_loss,put,8309.2,108.14,60.2,-0.6,-47.94,-2396.84
2015-07-01,2015-07-08,long,intraday,8388.9,8354.65,8305.01,-34.25,-1712.5,50,time_exit,call,8354.0,97.66,40.82,0.6,-56.84,-2841.96
2015-07-09,2015-07-13,short,intraday,8339.65,8423.05,8423.05,-83.4,-4169.83,50,stop_loss,put,8402.95,110.25,55.82,-0.6,-54.43,-2721.32
