Entry Date,Exit Date,Direction,Entry Mode,Entry,Exit,SL,P&L (pts),P&L (Rs),Lot,Exit Reason,Option,Strike,Entry Prem,Exit Prem,Delta,Opt P&L (pts),Opt P&L (Rs)
2015-01-12,2015-01-13,long,intraday,8308.9,8307.25,8307.25,-1.65,-82.34,50,stop_loss,call,8196.27,150.02,143.45,0.75,-6.57,-328.51
2015-01-14,2015-01-15,short,intraday,8245.9,8261.46,8261.46,-15.56,-778.01,50,stop_loss,put,8391.88,165.36,150.1,-0.75,-15.26,-762.97
2015-01-19,2015-01-23,long,intraday,8553.4,8823.55,8839.55,270.15,13507.5,50,time_exit,call,8425.75,168.91,402.03,0.75,233.12,11655.82
2015-01-27,2015-01-28,long,intraday,8871.35,8898.18,8898.18,26.83,1341.26,50,stop_loss,call,8735.49,179.47,194.26,0.75,14.78,739.11
2015-01-29,2015-01-30,short,intraday,8870.55,8888.23,8888.23,-17.68,-884.25,50,stop_loss,put,9046.69,200.86,183.1,-0.75,-17.76,-887.89
2015-02-02,2015-02-03,short,intraday,8775.4,8777.7,8777.7,-2.3,-115.22,50,stop_loss,put,8958.18,208.95,202.59,-0.75,-6.36,-318.23
2015-02-04,2015-02-05,short,intraday,8722.15,8730.81,8730.81,-8.66,-433.2,50,stop_loss,put,8900.7,203.94,192.86,-0.75,-11.08,-554.13
2015-02-06,2015-02-10,short,intraday,8683.1,8541.9,8541.9,141.2,7060.05,50,stop_loss,put,8866.37,209.66,323.28,-0.75,113.62,5681.24
2015-02-12,2015-02-16,long,intraday,8676.95,8795.23,8795.23,118.28,5914.25,50,stop_loss,call,8528.21,195.19,282.54,0.75,87.35,4367.47
2015-02-18,2015-02-19,long,intraday,8871.05,8867.22,8867.22,-3.83,-191.58,50,stop_loss,call,8713.14,206.81,196.86,0.75,-9.95,-497.65
2015-02-23,2015-02-24,short,intraday,8814.5,8763.46,8763.46,51.04,2551.91,50,stop_loss,put,9008.79,222.73,258.58,-0.75,35.85,1792.36
2015-02-25,2015-02-26,long,intraday,8802.65,8813.98,8813.98,11.33,566.42,50,stop_loss,call,8646.96,203.97,205.77,0.75,1.8,89.91
2015-02-27,2015-02-28,long,intraday,8790.6,8830.38,8830.38,39.78,1988.96,50,stop_loss,call,8644.48,192.08,216.94,0.75,24.86,1242.96
2015-03-02,2015-03-03,long,intraday,8954.6,8944.78,8944.78,-9.82,-490.75,50,stop_loss,call,8835.29,159.11,146.04,0.75,-13.07,-653.4
2015-03-04,2015-03-05,long,intraday,9109.15,9089.95,9089.95,-19.2,-960.1,50,stop_loss,call,8993.07,155.33,135.43,0.75,-19.9,-994.97
2015-03-09,2015-03-10,short,intraday,8831.15,8766.67,8766.67,64.48,3223.93,50,stop_loss,put,8975.0,162.06,211.57,-0.75,49.52,2475.81
2015-03-12,2015-03-13,long,intraday,8766.85,8759.84,8759.84,-7.01,-350.43,50,stop_loss,call,8658.65,145.14,134.61,0.75,-10.53,-526.67
2015-03-16,2015-03-17,short,intraday,8625.2,8637.99,8637.99,-12.79,-639.32,50,stop_loss,put,8760.38,151.86,139.09,-0.75,-12.77,-638.74
2015-03-18,2015-03-19,long,intraday,8742.9,8720.16,8720.16,-22.74,-1136.96,50,stop_loss,call,8629.06,152.07,129.75,0.75,-22.32,-1116.03
2015-03-20,2015-03-23,short,intraday,8607.55,8578.96,8578.96,28.59,1429.51,50,stop_loss,put,8734.71,142.22,162.17,-0.75,19.95,997.35
2015-03-24,2015-03-25,short,intraday,8537.05,8562.56,8562.56,-25.51,-1275.54,50,stop_loss,put,8658.26,135.13,113.53,-0.75,-21.6,-1079.99
2015-03-26,2015-03-27,short,intraday,8474.95,8351.33,8351.33,123.62,6181.05,50,stop_loss,put,8607.61,149.02,252.57,-0.75,103.55,5177.62
2015-03-30,2015-03-31,long,intraday,8411.85,8478.74,8478.74,66.89,3344.36,50,stop_loss,call,8311.73,134.71,184.88,0.75,50.18,2508.91
2015-04-01,2015-04-06,long,intraday,8562.35,8574.8,8574.8,12.45,622.41,50,stop_loss,call,8464.96,131.53,136.38,0.75,4.85,242.53
2015-04-07,2015-04-09,long,intraday,8684.45,8703.96,8703.96,19.51,975.48,50,stop_loss,call,8581.16,138.98,144.29,0.75,5.31,265.59
2015-04-13,2015-04-15,long,intraday,8801.75,8814.83,8814.83,13.08,653.8,50,stop_loss,call,8695.17,143.19,148.16,0.75,4.97,248.44
2015-04-16,2015-04-17,short,intraday,8717.8,8671.74,8671.74,46.06,2303.13,50,stop_loss,put,8852.47,151.13,185.34,-0.75,34.21,1710.6
2015-04-20,2015-04-21,short,intraday,8577.15,8448.47,8448.47,128.68,6434.02,50,stop_loss,put,8720.99,162.36,269.52,-0.75,107.16,5357.89
2015-04-22,2015-04-23,short,intraday,8337.6,8309.7,8309.7,27.9,1394.77,50,stop_loss,put,8484.88,166.81,185.38,-0.75,18.57,928.64
2015-04-24,2015-04-27,short,intraday,8345.5,8298.62,8298.62,46.88,2343.93,50,stop_loss,put,8508.57,185.79,219.38,-0.75,33.59,1679.55
2015-04-28,2015-04-29,short,intraday,8201.95,8214.62,8214.62,-12.67,-633.51,50,stop_loss,put,8348.45,166.04,152.91,-0.75,-13.13,-656.41
2015-04-30,2015-05-04,short,intraday,8190.25,8169.44,8169.44,20.82,1040.75,50,stop_loss,put,8335.09,164.05,176.97,-0.75,12.91,645.74
2015-05-05,2015-05-06,long,intraday,8345.6,8330.48,8330.48,-15.12,-755.83,50,stop_loss,call,8223.19,162.15,145.13,0.75,-17.03,-851.37
2015-05-07,2015-05-08,short,intraday,8077.0,8021.34,8021.34,55.66,2782.9,50,stop_loss,put,8239.14,185.01,225.96,-0.75,40.95,2047.59
2015-05-11,2015-05-12,long,intraday,8243.2,8307.7,8307.7,64.5,3225.09,50,stop_loss,call,8113.02,171.64,217.98,0.75,46.33,2316.61
2015-05-13,2015-05-14,short,intraday,8108.65,8117.83,8117.83,-9.18,-459.03,50,stop_loss,put,8279.8,195.79,184.47,-0.75,-11.32,-566.09
2015-05-15,2015-05-19,long,intraday,8240.3,8359.2,8359.2,118.9,5944.85,50,stop_loss,call,8101.51,182.31,271.57,0.75,89.26,4462.96
2015-05-20,2015-05-21,long,intraday,8432.35,8414.88,8414.88,-17.47,-873.53,50,stop_loss,call,8305.98,167.17,148.25,0.75,-18.92,-946.24
2015-05-22,2015-05-25,long,intraday,8443.65,8463.53,8463.53,19.88,994.15,50,stop_loss,call,8322.88,160.25,170.14,0.75,9.89,494.28
2015-05-26,2015-05-28,short,intraday,8352.0,8303.13,8303.13,48.87,2443.26,50,stop_loss,put,8498.38,165.71,199.28,-0.75,33.57,1678.37
2015-05-29,2015-06-01,long,intraday,8398.8,8418.12,8418.12,19.32,965.98,50,stop_loss,call,8280.84,156.73,166.28,0.75,9.55,477.56
2015-06-02,2015-06-04,short,intraday,8383.45,8118.73,8118.73,264.72,13235.83,50,stop_loss,put,8528.32,163.85,402.95,-0.75,239.1,11955.03
2015-06-05,2015-06-08,long,intraday,8165.65,8166.23,8166.23,0.58,28.88,50,stop_loss,call,8040.6,165.2,159.9,0.75,-5.3,-264.89
2015-06-09,2015-06-10,short,intraday,8026.5,8029.52,8029.52,-3.02,-150.82,50,stop_loss,put,8174.61,168.2,162.29,-0.75,-5.9,-295.2
2015-06-11,2015-06-11,long,intraday,8157.3,7961.52,7961.52,-195.78,-9788.76,50,stop_loss,call,8034.4,162.52,50.89,0.75,-111.63,-5581.5
2015-06-12,2015-06-15,short,intraday,7957.8,7964.77,7964.77,-6.97,-348.64,50,stop_loss,put,8100.48,161.76,153.01,-0.75,-8.75,-437.5
2015-06-17,2015-06-18,long,intraday,8084.2,8112.19,8112.19,27.99,1399.51,50,stop_loss,call,7970.15,151.48,168.2,0.75,16.72,835.99
2015-06-19,2015-06-23,long,intraday,8201.15,8344.24,8344.24,143.09,7154.6,50,stop_loss,call,8097.44,138.85,255.82,0.75,116.97,5848.38
2015-06-24,2015-06-25,long,intraday,8399.4,8395.89,8395.89,-3.51,-175.67,50,stop_loss,call,8286.96,149.89,141.9,0.75,-7.99,-399.72
2015-06-29,2015-06-30,short,intraday,8247.05,8220.69,8220.69,26.36,1318.08,50,stop_loss,put,8393.46,165.88,183.22,-0.75,17.34,867.24
2015-07-01,2015-07-02,long,intraday,8388.9,8448.88,8448.88,59.98,2998.86,50,stop_loss,call,8277.13,149.06,192.54,0.75,43.48,2173.81
2015-07-03,2015-07-06,long,intraday,8479.6,8472.26,8472.26,-7.34,-367.16,50,stop_loss,call,8363.14,154.97,143.93,0.75,-11.04,-552.02
2015-07-07,2015-07-08,long,intraday,8540.5,8535.42,8535.42,-5.08,-254.17,50,stop_loss,call,8423.21,156.08,146.7,0.75,-9.38,-468.91
2015-07-09,2015-07-10,short,intraday,8339.65,8347.97,8347.97,-8.32,-415.95,50,stop_loss,put,8488.85,169.12,159.2,-0.75,-9.92,-496.23
2015-07-13,2015-07-14,long,intraday,8397.25,8445.79,8445.79,48.54,2426.82,50,stop_loss,call,8282.22,153.09,186.68,0.75,33.59,1679.43
2015-07-15,2015-07-20,long,intraday,8486.0,8616.72,8616.72,130.72,6536.1,50,stop_loss,call,8375.05,148.17,249.22,0.75,101.05,5052.75
2015-07-21,2015-07-22,long,intraday,8625.4,8620.76,8620.76,-4.64,-232.0,50,stop_loss,call,8516.25,146.13,137.37,0.75,-8.76,-438.15
2015-07-23,2015-07-24,long,intraday,8643.95,8628.64,8628.64,-15.31,-765.69,50,stop_loss,call,8531.32,150.45,133.6,0.75,-16.85,-842.42
2015-07-27,2015-07-28,short,intraday,8492.1,8377.56,8377.56,114.54,5727.13,50,stop_loss,put,8635.09,161.46,255.63,-0.75,94.17,4708.71
2015-07-30,2015-08-03,long,intraday,8413.2,8523.2,8523.2,110.0,5500.17,50,stop_loss,call,8305.01,144.67,229.53,0.75,84.86,4243.05
2015-08-04,2015-08-06,long,intraday,8564.1,8565.97,8565.97,1.87,93.74,50,stop_loss,call,8457.79,142.54,133.53,0.75,-9.01,-450.5
2015-08-10,2015-08-11,long,intraday,8597.45,8595.54,8595.54,-1.91,-95.71,50,stop_loss,call,8485.81,149.17,142.38,0.75,-6.78,-339.12
2015-08-12,2015-08-13,short,intraday,8417.8,8363.01,8363.01,54.79,2739.3,50,stop_loss,put,8568.48,170.81,211.61,-0.75,40.8,2039.94
2015-08-14,2015-08-17,long,intraday,8456.95,8504.36,8504.36,47.41,2370.51,50,stop_loss,call,8342.99,151.85,184.54,0.75,32.69,1634.27
2015-08-20,2015-08-25,short,intraday,8412.9,7793.01,7793.01,619.89,30994.55,50,stop_loss,put,8559.6,166.02,760.97,-0.75,594.95,29747.27
2015-08-26,2015-08-27,long,intraday,7928.35,7904.61,7904.61,-23.74,-1186.76,50,stop_loss,call,7755.35,224.46,199.21,0.75,-25.26,-1262.86
2015-08-28,2015-08-31,long,intraday,8053.7,8067.42,8067.42,13.72,686.25,50,stop_loss,call,7893.29,208.94,212.54,0.75,3.6,180.08
2015-09-01,2015-09-02,short,intraday,7907.95,7770.24,7770.24,137.71,6885.45,50,stop_loss,put,8138.75,267.43,375.87,-0.75,108.43,5421.75
2015-09-04,2015-09-07,short,intraday,7751.6,7650.43,7650.43,101.17,5058.37,50,stop_loss,put,7959.75,240.53,318.18,-0.75,77.64,3882.11
2015-09-08,2015-09-09,short,intraday,7544.8,7565.58,7565.58,-20.78,-1038.94,50,stop_loss,put,7733.32,217.27,196.62,-0.75,-20.65,-1032.57
2015-09-10,2015-09-11,short,intraday,7721.35,7701.64,7701.64,19.71,985.71,50,stop_loss,put,7915.68,224.03,234.32,-0.75,10.29,514.62
2015-09-14,2015-09-15,long,intraday,7865.95,7855.16,7855.16,-10.79,-539.32,50,stop_loss,call,7702.5,212.5,197.24,0.75,-15.27,-763.27
2015-09-16,2015-09-21,long,intraday,7886.2,8030.54,8030.54,144.34,7216.8,50,stop_loss,call,7738.28,193.21,304.95,0.75,111.74,5587.22
2015-09-22,2015-09-22,long,intraday,8014.8,7822.44,7822.44,-192.36,-9617.76,50,stop_loss,call,7876.07,181.96,67.7,0.75,-114.26,-5713.04
