Entry Date,Exit Date,Direction,Entry,Exit,SL,P&L (pts),P&L (Rs),Lot,Exit Reason,Option,Strike,Entry Prem,Exit Prem,Delta,Opt P&L (pts),Opt P&L (Rs)
2008-03-03,2008-03-11,short,4953.0,4865.9,5002.53,87.1,4355.0,50,time_exit,,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-13,2008-03-14,short,4623.6,4669.84,4669.84,-46.24,-2311.8,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-17,2008-03-18,short,4503.1,4548.13,4548.13,-45.03,-2251.55,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-25,2008-03-26,long,4877.5,4828.73,4828.73,-48.77,-2438.75,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-28,2008-03-31,long,4942.0,4892.58,4892.58,-49.42,-2471.0,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-04,2008-04-07,short,4647.0,4693.47,4693.47,-46.47,-2323.5,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-15,2008-04-23,long,4879.65,5022.8,4830.85,143.15,7157.5,50,time_exit,,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-24,2008-04-25,short,4999.85,5049.85,5049.85,-50.0,-2499.93,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-29,2008-05-06,long,5195.5,5143.54,5143.54,-51.95,-2597.75,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-05-08,2008-05-15,short,5081.7,5115.25,5132.52,-33.55,-1677.49,50,time_exit,,0.0,0.0,0.0,0.0,0.0,0.0
2008-05-16,2008-05-20,long,5157.7,5106.12,5106.12,-51.58,-2578.85,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-05-22,2008-05-29,short,5025.45,4835.3,5075.7,190.15,9507.52,50,time_exit,,0.0,0.0,0.0,0.0,0.0,0.0
2008-06-02,2008-06-10,short,4739.6,4449.8,4787.0,289.8,14490.01,50,time_exit,,0.0,0.0,0.0,0.0,0.0,0.0
2008-06-11,2008-06-12,long,4523.6,4478.36,4478.36,-45.24,-2261.8,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-06-16,2008-06-19,long,4572.5,4526.77,4526.77,-45.73,-2286.25,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-06-20,2008-06-27,short,4347.55,4136.65,4391.03,210.9,10545.0,50,time_exit,,0.0,0.0,0.0,0.0,0.0,0.0
2008-06-30,2008-07-02,short,4040.55,4080.96,4080.96,-40.41,-2020.28,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-07-08,2008-07-09,short,3988.55,4028.44,4028.44,-39.89,-1994.28,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-07-11,2008-07-14,short,4049.0,4089.49,4089.49,-40.49,-2024.5,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-07-15,2008-07-16,short,3861.1,3899.71,3899.71,-38.61,-1930.55,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-07-17,2008-07-24,long,3947.2,4433.55,3907.73,486.35,24317.49,50,time_exit,,0.0,0.0,0.0,0.0,0.0,0.0
2008-07-25,2008-08-01,short,4311.85,4354.97,4354.97,-43.12,-2155.93,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-08-05,2008-08-12,long,4502.85,4552.25,4457.82,49.4,2470.0,50,time_exit,,0.0,0.0,0.0,0.0,0.0,0.0
2008-08-14,2008-08-25,short,4430.7,4335.35,4475.01,95.35,4767.5,50,time_exit,,0.0,0.0,0.0,0.0,0.0,0.0
2008-08-28,2008-08-29,short,4214.0,4256.14,4256.14,-42.14,-2107.0,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-09-02,2008-09-04,long,4504.0,4458.96,4458.96,-45.04,-2252.0,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-09-05,2008-09-08,short,4352.3,4395.82,4395.82,-43.52,-2176.15,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-09-10,2008-09-17,short,4400.25,4008.25,4444.25,392.0,19600.0,50,time_exit,,0.0,0.0,0.0,0.0,0.0,0.0
2008-09-19,2008-09-22,long,4245.25,4202.8,4202.8,-42.45,-2122.63,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-09-23,2008-09-24,short,4126.9,4168.17,4168.17,-41.27,-2063.45,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-09-25,2008-10-03,short,4110.55,3818.3,4151.66,292.25,14612.49,50,time_exit,,0.0,0.0,0.0,0.0,0.0,0.0
2008-10-06,2008-10-07,short,3602.35,3638.37,3638.37,-36.02,-1801.18,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-10-08,2008-10-14,short,3513.65,3548.79,3548.79,-35.14,-1756.82,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-10-15,2008-10-22,short,3338.4,3065.15,3371.78,273.25,13662.5,50,time_exit,,0.0,0.0,0.0,0.0,0.0,0.0
2008-10-23,2008-11-03,short,2943.15,2972.58,2972.58,-29.43,-1471.57,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-11-04,2008-11-05,long,3142.1,3110.68,3110.68,-31.42,-1571.05,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-11-06,2008-11-07,short,2892.65,2921.58,2921.58,-28.93,-1446.32,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-11-10,2008-11-11,long,3148.25,3116.77,3116.77,-31.48,-1574.13,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-11-12,2008-11-14,short,2848.45,2876.93,2876.93,-28.48,-1424.22,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-11-18,2008-11-19,short,2683.15,2709.98,2709.98,-26.83,-1341.57,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-11-20,2008-11-21,short,2553.15,2578.68,2578.68,-25.53,-1276.57,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-01,2008-12-04,short,2682.9,2709.73,2709.73,-26.83,-1341.45,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-10,2008-12-11,long,2928.25,2898.97,2898.97,-29.28,-1464.12,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-15,2008-12-17,long,2981.2,2951.39,2951.39,-29.81,-1490.6,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-19,2008-12-22,long,3077.5,3046.72,3046.72,-30.78,-1538.75,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-23,2008-12-30,short,2968.65,2998.34,2998.34,-29.69,-1484.32,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-02,2009-01-07,long,3046.75,3016.28,3016.28,-30.47,-1523.38,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-09,2009-01-16,short,2873.0,2828.45,2901.73,44.55,2227.5,50,time_exit,,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-19,2009-01-20,long,2846.2,2817.74,2817.74,-28.46,-1423.1,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-21,2009-01-22,short,2706.15,2733.21,2733.21,-27.06,-1353.07,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-23,2009-01-27,short,2678.55,2705.34,2705.34,-26.79,-1339.28,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-28,2009-01-29,long,2849.5,2821.0,2821.0,-28.49,-1424.75,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-30,2009-02-02,long,2874.8,2846.05,2846.05,-28.75,-1437.4,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-05,2009-02-06,short,2780.05,2807.85,2807.85,-27.8,-1390.03,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-09,2009-02-11,long,2919.9,2890.7,2890.7,-29.2,-1459.95,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-13,2009-02-16,long,2948.35,2918.87,2918.87,-29.48,-1474.18,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-17,2009-02-18,short,2770.5,2798.2,2798.2,-27.7,-1385.25,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-20,2009-02-25,short,2736.45,2763.81,2763.81,-27.36,-1368.22,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-02,2009-03-09,short,2674.6,2573.15,2701.35,101.45,5072.51,50,time_exit,,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-13,2009-03-20,long,2719.25,2807.05,2692.06,87.8,4390.0,50,time_exit,,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-23,2009-03-30,long,2939.9,2978.15,2910.5,38.25,1912.5,50,time_exit,,0.0,0.0,0.0,0.0,0.0,0.0
2009-04-01,2009-04-13,long,3060.35,3382.6,3029.75,322.25,16112.5,50,time_exit,,0.0,0.0,0.0,0.0,0.0,0.0
