Entry Date,Exit Date,Direction,Entry,Exit,SL,P&L (pts),P&L (Rs),Lot,Exit Reason,Option,Strike,Entry Prem,Exit Prem,Delta,Opt P&L (pts),Opt P&L (Rs)
2008-03-03,2008-03-05,short,4953.0,4827.39,4827.39,125.61,6280.55,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-07,2008-03-11,short,4771.6,4634.36,4634.36,137.24,6861.93,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-13,2008-03-14,short,4623.6,4716.07,4716.07,-92.47,-4623.6,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-17,2008-03-18,short,4503.1,4593.16,4593.16,-90.06,-4503.1,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-25,2008-03-27,long,4877.5,4897.56,4897.56,20.06,1003.15,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-28,2008-03-31,long,4942.0,4843.16,4843.16,-98.84,-4942.0,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-04,2008-04-07,short,4647.0,4739.94,4739.94,-92.94,-4647.0,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-15,2008-04-17,long,4879.65,4936.55,4936.55,56.9,2844.79,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-21,2008-04-23,long,5037.0,5059.03,5059.03,22.03,1101.36,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-24,2008-04-25,short,4999.85,5099.85,5099.85,-100.0,-4999.85,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-29,2008-05-02,long,5195.5,5215.06,5215.06,19.56,977.89,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-05-05,2008-05-07,short,5192.25,5126.23,5126.23,66.02,3300.87,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-05-08,2008-05-12,short,5081.7,4984.31,4984.31,97.39,4869.6,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-05-15,2008-05-20,long,5115.25,5151.9,5151.9,36.65,1832.39,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-05-22,2008-05-27,short,5025.45,4872.57,4872.57,152.88,7643.81,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-05-29,2008-06-02,short,4835.3,4847.95,4847.95,-12.65,-632.54,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-06-04,2008-06-05,short,4585.6,4677.31,4677.31,-91.71,-4585.6,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-06-09,2008-06-11,short,4500.95,4382.91,4382.91,118.04,5902.05,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-06-16,2008-06-18,long,4572.5,4650.06,4650.06,77.56,3877.88,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-06-19,2008-06-23,short,4504.25,4346.6,4346.6,157.65,7882.46,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-06-24,2008-06-26,short,4191.1,4105.48,4105.48,85.62,4281.03,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-06-27,2008-07-01,short,4136.65,4033.77,4033.77,102.88,5144.24,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-07-02,2008-07-03,long,4093.35,4011.48,4011.48,-81.87,-4093.35,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-07-08,2008-07-09,short,3988.55,4068.32,4068.32,-79.77,-3988.55,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-07-11,2008-07-15,short,4049.0,4016.26,4016.26,32.74,1636.86,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-07-16,2008-07-17,short,3816.7,3893.03,3893.03,-76.33,-3816.7,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-07-18,2008-07-22,long,4092.25,4155.65,4155.65,63.4,3169.77,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-07-23,2008-07-24,long,4476.8,4387.26,4387.26,-89.54,-4476.8,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-07-25,2008-07-29,short,4311.85,4295.1,4295.1,16.75,837.67,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-07-31,2008-08-01,long,4332.95,4246.29,4246.29,-86.66,-4332.95,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-08-05,2008-08-07,long,4502.85,4602.05,4602.05,99.2,4960.11,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-08-11,2008-08-12,long,4620.4,4527.99,4527.99,-92.41,-4620.4,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-08-14,2008-08-20,short,4430.7,4329.5,4329.5,101.2,5060.04,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-08-21,2008-08-25,short,4283.85,4260.74,4260.74,23.11,1155.3,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-08-28,2008-08-29,short,4214.0,4298.28,4298.28,-84.28,-4214.0,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-09-02,2008-09-05,long,4504.0,4501.06,4501.06,-2.94,-147.19,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-09-08,2008-09-10,long,4482.3,4484.01,4484.01,1.71,85.38,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-09-11,2008-09-15,short,4290.3,4212.75,4212.75,77.55,3877.47,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-09-19,2008-09-23,long,4245.25,4290.34,4290.34,45.09,2254.51,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-09-25,2008-09-29,short,4110.55,3982.26,3982.26,128.29,6414.43,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-10-03,2008-10-07,short,3818.3,3592.34,3592.34,225.96,11297.76,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-10-08,2008-10-13,short,3513.65,3208.55,3208.55,305.1,15255.16,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-10-14,2008-10-15,long,3518.65,3448.28,3448.28,-70.37,-3518.65,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-10-16,2008-10-17,short,3269.3,3334.69,3334.69,-65.39,-3269.3,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-10-22,2008-10-24,short,3065.15,2925.9,2925.9,139.25,6962.43,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-10-27,2008-10-29,short,2524.2,2574.68,2574.68,-50.48,-2524.2,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-10-31,2008-11-04,long,2885.6,3052.86,3052.86,167.26,8363.19,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-11-06,2008-11-07,short,2892.65,2950.5,2950.5,-57.85,-2892.65,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-11-10,2008-11-11,long,3148.25,3085.28,3085.28,-62.97,-3148.25,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-11-12,2008-11-14,short,2848.45,2905.42,2905.42,-56.97,-2848.45,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
2008-11-18,2008-11-19,short,2683.15,2736.81,2736.81,-53.66,-2683.15,50,stop_loss,,0.0,0.0,0.0,0.0,0.0,0.0
