Entry Date,Exit Date,Direction,Entry,Exit,SL,P&L (pts),P&L (Rs),Lot,Exit Reason,Option,Strike,Entry Prem,Exit Prem,Delta,Opt P&L (pts),Opt P&L (Rs)
2008-03-03,2008-03-11,short,4953.0,4865.9,5002.53,87.1,4355.0,50,time_exit,put,5027.47,136.65,166.94,-0.6,30.29,1514.5
2008-03-13,2008-03-14,short,4623.6,4669.84,4669.84,-46.24,-2311.8,50,stop_loss,put,4689.96,121.63,89.68,-0.6,-31.95,-1597.34
2008-03-17,2008-03-18,short,4503.1,4548.13,4548.13,-45.03,-2251.55,50,stop_loss,put,4566.36,115.88,84.94,-0.6,-30.94,-1547.14
2008-03-25,2008-03-26,long,4877.5,4828.73,4828.73,-48.77,-2438.75,50,stop_loss,call,4831.53,117.37,83.21,0.6,-34.16,-1708.23
2008-03-28,2008-03-31,long,4942.0,4892.58,4892.58,-49.42,-2471.0,50,stop_loss,call,4895.75,118.13,83.57,0.6,-34.56,-1727.77
2008-04-04,2008-04-07,short,4647.0,4693.47,4693.47,-46.47,-2323.5,50,stop_loss,put,4719.19,132.55,99.78,-0.6,-32.78,-1638.76
2008-04-15,2008-04-23,long,4879.65,5022.8,4830.85,143.15,7157.5,50,time_exit,call,4837.97,106.9,188.49,0.6,81.59,4079.49
2008-04-24,2008-04-25,short,4999.85,5049.85,5049.85,-50.0,-2499.93,50,stop_loss,put,5060.32,110.07,77.02,-0.6,-33.06,-1652.79
2008-04-29,2008-05-06,long,5195.5,5143.54,5143.54,-51.95,-2597.75,50,stop_loss,call,5157.34,98.87,43.3,0.6,-55.57,-2778.62
2008-05-08,2008-05-15,short,5081.7,5115.25,5132.52,-33.55,-1677.49,50,time_exit,put,5137.38,100.74,50.33,-0.6,-50.42,-2520.77
2008-05-16,2008-05-20,long,5157.7,5106.12,5106.12,-51.58,-2578.85,50,stop_loss,call,5124.34,87.47,54.44,0.6,-33.03,-1651.39
2008-05-22,2008-05-29,short,5025.45,4835.3,5075.7,190.15,9507.52,50,time_exit,put,5099.09,135.04,263.07,-0.6,128.03,6401.51
2008-06-02,2008-06-10,short,4739.6,4449.8,4787.0,289.8,14490.01,50,time_exit,put,4798.41,107.18,347.04,-0.6,239.85,11992.64
2008-06-11,2008-06-12,long,4523.6,4478.36,4478.36,-45.24,-2261.8,50,stop_loss,call,4485.73,97.22,66.45,0.6,-30.77,-1538.49
2008-06-16,2008-06-19,long,4572.5,4526.77,4526.77,-45.73,-2286.25,50,stop_loss,call,4535.05,96.27,52.29,0.6,-43.98,-2199.24
2008-06-20,2008-06-27,short,4347.55,4136.65,4391.03,210.9,10545.0,50,time_exit,put,4399.17,93.87,261.12,-0.6,167.25,8362.47
2008-06-30,2008-07-02,short,4040.55,4080.96,4080.96,-40.41,-2020.28,50,stop_loss,put,4093.14,96.07,63.57,-0.6,-32.49,-1624.73
2008-07-08,2008-07-09,short,3988.55,4028.44,4028.44,-39.89,-1994.28,50,stop_loss,put,4048.99,110.93,82.98,-0.6,-27.95,-1397.51
2008-07-11,2008-07-14,short,4049.0,4089.49,4089.49,-40.49,-2024.5,50,stop_loss,put,4105.17,102.85,75.11,-0.6,-27.73,-1386.59
2008-07-15,2008-07-16,short,3861.1,3899.71,3899.71,-38.61,-1930.55,50,stop_loss,put,3942.99,150.3,120.69,-0.6,-29.61,-1480.28
2008-07-17,2008-07-24,long,3947.2,4433.55,3907.73,486.35,24317.49,50,time_exit,call,3907.73,100.61,527.11,0.6,426.5,21324.8
2008-07-25,2008-08-01,short,4311.85,4354.97,4354.97,-43.12,-2155.93,50,stop_loss,put,4388.86,141.58,72.34,-0.6,-69.24,-3461.93
2008-08-05,2008-08-12,long,4502.85,4552.25,4457.82,49.4,2470.0,50,time_exit,call,4457.42,115.78,110.34,0.6,-5.44,-272.05
2008-08-14,2008-08-25,short,4430.7,4335.35,4475.01,95.35,4767.5,50,time_exit,put,4496.34,120.4,163.87,-0.6,43.47,2173.42
2008-08-28,2008-08-29,short,4214.0,4256.14,4256.14,-42.14,-2107.0,50,stop_loss,put,4272.99,108.04,79.11,-0.6,-28.93,-1446.47
2008-09-02,2008-09-04,long,4504.0,4458.96,4458.96,-45.04,-2252.0,50,stop_loss,call,4465.24,99.37,68.52,0.6,-30.84,-1542.2
2008-09-05,2008-09-08,short,4352.3,4395.82,4395.82,-43.52,-2176.15,50,stop_loss,put,4412.02,109.31,79.58,-0.6,-29.73,-1486.26
2008-09-10,2008-09-17,short,4400.25,4008.25,4444.25,392.0,19600.0,50,time_exit,put,4459.65,108.66,449.94,-0.6,341.28,17063.77
2008-09-19,2008-09-22,long,4245.25,4202.8,4202.8,-42.45,-2122.63,50,stop_loss,call,4198.36,119.36,88.36,0.6,-31.0,-1550.25
2008-09-23,2008-09-24,short,4126.9,4168.17,4168.17,-41.27,-2063.45,50,stop_loss,put,4194.22,123.7,94.22,-0.6,-29.48,-1474.09
2008-09-25,2008-10-03,short,4110.55,3818.3,4151.66,292.25,14612.49,50,time_exit,put,4169.44,107.94,349.78,-0.6,241.84,12092.04
2008-10-06,2008-10-07,short,3602.35,3638.37,3638.37,-36.02,-1801.18,50,stop_loss,put,3653.44,93.62,68.8,-0.6,-24.81,-1240.72
2008-10-08,2008-10-14,short,3513.65,3548.79,3548.79,-35.14,-1756.82,50,stop_loss,put,3571.87,106.99,69.41,-0.6,-37.58,-1879.06
2008-10-15,2008-10-22,short,3338.4,3065.15,3371.78,273.25,13662.5,50,time_exit,put,3403.63,119.86,337.39,-0.6,217.54,10876.75
2008-10-23,2008-11-03,short,2943.15,2972.58,2972.58,-29.43,-1471.57,50,stop_loss,put,3012.63,127.18,70.58,-0.6,-56.6,-2830.14
2008-11-04,2008-11-05,long,3142.1,3110.68,3110.68,-31.42,-1571.05,50,stop_loss,call,3089.29,137.42,111.17,0.6,-26.25,-1312.6
2008-11-06,2008-11-07,short,2892.65,2921.58,2921.58,-28.93,-1446.32,50,stop_loss,put,2970.8,142.33,118.55,-0.6,-23.78,-1188.79
2008-11-10,2008-11-11,long,3148.25,3116.77,3116.77,-31.48,-1574.13,50,stop_loss,call,3094.19,141.05,114.53,0.6,-26.52,-1326.1
2008-11-12,2008-11-14,short,2848.45,2876.93,2876.93,-28.48,-1424.22,50,stop_loss,put,2937.28,160.59,136.14,-0.6,-24.45,-1222.66
2008-11-18,2008-11-19,short,2683.15,2709.98,2709.98,-26.83,-1341.57,50,stop_loss,put,2758.91,137.69,115.34,-0.6,-22.35,-1117.32
2008-11-20,2008-11-21,short,2553.15,2578.68,2578.68,-25.53,-1276.57,50,stop_loss,put,2626.35,132.94,111.58,-0.6,-21.36,-1068.1
2008-12-01,2008-12-04,short,2682.9,2709.73,2709.73,-26.83,-1341.45,50,stop_loss,put,2746.6,116.58,82.01,-0.6,-34.56,-1728.24
2008-12-10,2008-12-11,long,2928.25,2898.97,2898.97,-29.28,-1464.12,50,stop_loss,call,2887.29,104.9,81.96,0.6,-22.94,-1146.98
2008-12-15,2008-12-17,long,2981.2,2951.39,2951.39,-29.81,-1490.6,50,stop_loss,call,2941.2,102.22,72.63,0.6,-29.59,-1479.48
2008-12-19,2008-12-22,long,3077.5,3046.72,3046.72,-30.78,-1538.75,50,stop_loss,call,3038.75,98.81,75.47,0.6,-23.33,-1166.74
2008-12-23,2008-12-30,short,2968.65,2998.34,2998.34,-29.69,-1484.32,50,stop_loss,put,3026.16,105.69,64.04,-0.6,-41.64,-2082.19
2009-01-02,2009-01-07,long,3046.75,3016.28,3016.28,-30.47,-1523.38,50,stop_loss,call,3011.82,88.93,54.46,0.6,-34.47,-1723.61
2009-01-09,2009-01-16,short,2873.0,2828.45,2901.73,44.55,2227.5,50,time_exit,put,2931.39,107.25,110.46,-0.6,3.21,160.59
2009-01-19,2009-01-20,long,2846.2,2817.74,2817.74,-28.46,-1423.1,50,stop_loss,call,2810.7,90.5,68.98,0.6,-21.52,-1076.03
2009-01-21,2009-01-22,short,2706.15,2733.21,2733.21,-27.06,-1353.07,50,stop_loss,put,2758.22,95.7,75.5,-0.6,-20.2,-1010.15
2009-01-23,2009-01-27,short,2678.55,2705.34,2705.34,-26.79,-1339.28,50,stop_loss,put,2716.84,70.16,51.68,-0.6,-18.49,-924.38
2009-01-28,2009-01-29,long,2849.5,2821.0,2821.0,-28.49,-1424.75,50,stop_loss,call,2816.76,83.35,62.31,0.6,-21.04,-1052.03
2009-01-30,2009-02-02,long,2874.8,2846.05,2846.05,-28.75,-1437.4,50,stop_loss,call,2840.73,86.75,65.34,0.6,-21.41,-1070.69
2009-02-05,2009-02-06,short,2780.05,2807.85,2807.85,-27.8,-1390.03,50,stop_loss,put,2831.7,94.95,74.39,-0.6,-20.56,-1027.95
2009-02-09,2009-02-11,long,2919.9,2890.7,2890.7,-29.2,-1459.95,50,stop_loss,call,2883.38,93.09,65.03,0.6,-28.06,-1402.88
2009-02-13,2009-02-16,long,2948.35,2918.87,2918.87,-29.48,-1474.18,50,stop_loss,call,2912.47,91.42,69.29,0.6,-22.13,-1106.62
2009-02-17,2009-02-18,short,2770.5,2798.2,2798.2,-27.7,-1385.25,50,stop_loss,put,2822.07,94.81,74.31,-0.6,-20.5,-1024.95
2009-02-20,2009-02-25,short,2736.45,2763.81,2763.81,-27.36,-1368.22,50,stop_loss,put,2788.86,96.33,70.66,-0.6,-25.67,-1283.6
2009-03-02,2009-03-09,short,2674.6,2573.15,2701.35,101.45,5072.51,50,time_exit,put,2723.63,90.14,150.92,-0.6,60.79,3039.42
2009-03-13,2009-03-20,long,2719.25,2807.05,2692.06,87.8,4390.0,50,time_exit,call,2691.88,69.75,117.72,0.6,47.97,2398.64
2009-03-23,2009-03-30,long,2939.9,2978.15,2910.5,38.25,1912.5,50,time_exit,call,2908.63,79.62,79.33,0.6,-0.29,-14.47
2009-04-01,2009-04-13,long,3060.35,3382.6,3029.75,322.25,16112.5,50,time_exit,call,3028.73,80.54,354.87,0.6,274.32,13716.12
2009-04-15,2009-04-16,long,3484.15,3449.31,3449.31,-34.84,-1742.07,50,stop_loss,call,3437.48,119.27,92.35,0.6,-26.92,-1346.09
2009-04-23,2009-04-28,long,3423.7,3389.46,3389.46,-34.24,-1711.85,50,stop_loss,call,3369.55,140.0,93.19,0.6,-46.8,-2340.05
2009-04-29,2009-05-08,long,3473.95,3620.7,3439.21,146.75,7337.5,50,time_exit,call,3428.65,115.63,196.08,0.6,80.45,4022.49
2009-05-11,2009-05-12,short,3554.6,3590.15,3590.15,-35.55,-1777.3,50,stop_loss,put,3648.72,171.55,142.51,-0.6,-29.04,-1452.14
2009-05-14,2009-05-15,short,3593.45,3629.38,3629.38,-35.93,-1796.72,50,stop_loss,put,3672.1,144.25,116.45,-0.6,-27.8,-1389.79
2009-05-18,2009-05-19,long,4323.15,4279.92,4279.92,-43.23,-2161.57,50,stop_loss,call,4263.46,152.76,119.03,0.6,-33.73,-1686.27
2009-05-21,2009-05-25,short,4210.9,4253.01,4253.01,-42.11,-2105.45,50,stop_loss,put,4302.17,167.44,125.83,-0.6,-41.61,-2080.41
2009-05-26,2009-05-27,short,4116.7,4157.87,4157.87,-41.17,-2058.35,50,stop_loss,put,4208.92,169.05,136.99,-0.6,-32.05,-1602.61
2009-05-28,2009-06-04,long,4337.1,4572.65,4293.73,235.55,11777.49,50,time_exit,call,4282.86,138.27,292.46,0.6,154.19,7709.28
2009-06-05,2009-06-08,long,4586.9,4541.03,4541.03,-45.87,-2293.45,50,stop_loss,call,4534.46,133.51,99.69,0.6,-33.82,-1691.13
2009-06-10,2009-06-11,long,4655.25,4608.7,4608.7,-46.55,-2327.62,50,stop_loss,call,4602.12,135.24,100.93,0.6,-34.31,-1715.42
2009-06-12,2009-06-19,short,4583.4,4313.6,4629.23,269.8,13489.99,50,time_exit,put,4662.33,145.09,347.42,-0.6,202.33,10116.37
2009-06-24,2009-06-25,long,4292.95,4250.02,4250.02,-42.93,-2146.48,50,stop_loss,call,4241.94,129.9,97.9,0.6,-32.0,-1600.11
2009-06-26,2009-06-30,long,4375.5,4331.74,4331.74,-43.76,-2187.75,50,stop_loss,call,4328.52,119.6,80.21,0.6,-39.39,-1969.5
2009-07-03,2009-07-06,long,4424.25,4380.01,4380.01,-44.24,-2212.13,50,stop_loss,call,4367.45,144.93,111.18,0.6,-33.74,-1687.16
2009-07-08,2009-07-10,short,4078.9,4119.69,4119.69,-40.79,-2039.45,50,stop_loss,put,4143.05,117.82,82.49,-0.6,-35.33,-1766.35
2009-07-13,2009-07-14,short,3974.05,4013.79,4013.79,-39.74,-1987.03,50,stop_loss,put,4035.19,112.25,84.29,-0.6,-27.96,-1397.91
2009-07-15,2009-07-22,long,4233.5,4398.9,4191.16,165.4,8270.0,50,time_exit,call,4190.21,110.3,211.6,0.6,101.3,5064.86
2009-07-24,2009-07-29,long,4568.55,4522.86,4522.86,-45.69,-2284.27,50,stop_loss,call,4521.42,120.05,71.08,0.6,-48.97,-2448.38
2009-07-31,2009-08-06,long,4636.45,4590.09,4590.09,-46.36,-2318.23,50,stop_loss,call,4585.12,130.65,68.71,0.6,-61.94,-3096.96
2009-08-07,2009-08-10,short,4481.4,4526.21,4526.21,-44.81,-2240.7,50,stop_loss,put,4558.61,141.94,109.46,-0.6,-32.48,-1623.97
2009-08-13,2009-08-17,long,4605.0,4558.95,4558.95,-46.05,-2302.5,50,stop_loss,call,4549.57,141.18,97.67,0.6,-43.51,-2175.25
2009-08-21,2009-08-28,long,4528.8,4732.35,4483.51,203.55,10177.51,50,time_exit,call,4479.53,125.42,255.61,0.6,130.18,6509.15
2009-09-01,2009-09-04,short,4625.35,4671.6,4671.6,-46.25,-2312.68,50,stop_loss,put,4693.36,124.73,78.12,-0.6,-46.61,-2330.69
2009-09-07,2009-09-14,long,4782.9,4808.6,4735.07,25.7,1285.01,50,time_exit,call,4739.31,111.44,89.35,0.6,-22.09,-1104.52
2009-09-15,2009-09-23,long,4892.1,4969.95,4843.18,77.85,3892.5,50,time_exit,call,4850.35,107.07,128.66,0.6,21.59,1079.43
2009-09-29,2009-10-06,long,5006.85,4956.78,4956.78,-50.07,-2503.43,50,stop_loss,call,4970.23,94.92,41.48,0.6,-53.45,-2672.31
2009-10-09,2009-10-12,short,4945.2,4994.65,4994.65,-49.45,-2472.6,50,stop_loss,put,5008.11,114.8,81.68,-0.6,-33.12,-1656.14
2009-10-14,2009-10-21,long,5118.2,5067.02,5067.02,-51.18,-2559.1,50,stop_loss,call,5080.28,98.2,43.21,0.6,-54.99,-2749.42
2009-10-22,2009-10-23,short,4988.6,5038.49,5038.49,-49.89,-2494.3,50,stop_loss,put,5042.35,97.14,65.13,-0.6,-32.01,-1600.42
2009-10-26,2009-11-03,short,4970.9,4563.9,5020.61,407.0,20350.0,50,time_exit,put,5022.46,92.91,456.9,-0.6,364.0,18199.92
2009-11-05,2009-11-12,long,4765.55,4952.65,4717.89,187.1,9355.0,50,time_exit,call,4725.76,102.18,229.03,0.6,126.85,6342.36
2009-11-16,2009-11-19,long,5058.05,5007.47,5007.47,-50.58,-2529.02,50,stop_loss,call,5018.22,102.67,54.84,0.6,-47.82,-2391.24
2009-11-23,2009-11-26,long,5103.55,5052.51,5052.51,-51.04,-2551.77,50,stop_loss,call,5065.26,99.04,51.78,0.6,-47.25,-2362.67
2009-11-27,2009-11-30,short,4941.75,4991.17,4991.17,-49.42,-2470.88,50,stop_loss,put,5004.23,113.98,80.93,-0.6,-33.05,-1652.35
2009-12-01,2009-12-07,long,5122.0,5070.78,5070.78,-51.22,-2561.0,50,stop_loss,call,5085.47,94.89,40.89,0.6,-54.0,-2699.85
2009-12-08,2009-12-09,long,5147.95,5096.47,5096.47,-51.48,-2573.98,50,stop_loss,call,5109.68,99.06,65.02,0.6,-34.04,-1702.11
2009-12-15,2009-12-22,short,5033.05,4985.85,5083.38,47.2,2359.99,50,time_exit,put,5093.08,109.18,114.36,-0.6,5.18,259.05
2009-12-23,2010-01-04,long,5144.6,5232.2,5093.15,87.6,4380.0,50,time_exit,call,5110.41,89.41,127.18,0.6,37.77,1888.31
2010-01-05,2010-01-12,long,5277.9,5225.12,5225.12,-52.78,-2638.95,50,stop_loss,call,5245.35,85.81,25.96,0.6,-59.85,-2992.57
2010-01-14,2010-01-20,long,5259.9,5207.3,5207.3,-52.6,-2629.95,50,stop_loss,call,5229.54,80.66,30.53,0.6,-50.13,-2506.69
2010-01-21,2010-01-29,short,5094.15,4882.05,5145.09,212.1,10605.0,50,time_exit,put,5144.96,91.27,261.25,-0.6,169.98,8499.03
