Entry Date,Exit Date,Direction,Entry,Exit,SL,P&L (pts),P&L (Rs),Lot,Exit Reason,Option,Strike,Entry Prem,Exit Prem,Delta,Opt P&L (pts),Opt P&L (Rs)
2008-03-03,2008-03-05,short,4953.0,4827.39,4827.39,125.61,6280.55,50,stop_loss,put,5133.42,210.22,308.66,-0.75,98.45,4922.42
2008-03-07,2008-03-11,short,4771.6,4634.36,4634.36,137.24,6861.93,50,stop_loss,put,4942.64,199.22,309.45,-0.75,110.23,5511.36
2008-03-13,2008-03-14,short,4623.6,4720.7,4720.7,-97.1,-4854.78,50,stop_loss,put,4784.31,187.06,115.72,-0.75,-71.34,-3567.23
2008-03-17,2008-03-18,short,4503.1,4597.67,4597.67,-94.57,-4728.26,50,stop_loss,put,4656.27,178.2,109.0,-0.75,-69.21,-3460.29
2008-03-25,2008-03-27,long,4877.5,4897.56,4897.56,20.06,1003.15,50,stop_loss,call,4738.6,178.69,182.84,0.75,4.16,207.82
2008-03-28,2008-03-31,long,4942.0,4838.22,4838.22,-103.78,-5189.1,50,stop_loss,call,4802.23,179.84,103.46,0.75,-76.38,-3818.94
2008-04-04,2008-04-07,short,4647.0,4744.59,4744.59,-97.59,-4879.35,50,stop_loss,put,4821.94,203.95,131.2,-0.75,-72.75,-3637.49
2008-04-15,2008-04-17,long,4879.65,4936.55,4936.55,56.9,2844.79,50,stop_loss,call,4753.42,162.82,198.98,0.75,36.16,1808.23
2008-04-21,2008-04-23,long,5037.0,5059.03,5059.03,22.03,1101.36,50,stop_loss,call,4920.22,151.18,158.65,0.75,7.47,373.64
2008-04-24,2008-04-25,short,4999.85,5104.85,5104.85,-105.0,-5249.84,50,stop_loss,put,5145.83,169.15,94.59,-0.75,-74.56,-3728.0
2008-04-29,2008-05-02,long,5195.5,5215.06,5215.06,19.56,977.89,50,stop_loss,call,5079.25,150.68,156.13,0.75,5.45,272.47
2008-05-05,2008-05-07,short,5192.25,5126.23,5126.23,66.02,3300.87,50,stop_loss,put,5324.6,152.65,201.49,-0.75,48.84,2441.82
2008-05-08,2008-05-12,short,5081.7,4984.31,4984.31,97.39,4869.6,50,stop_loss,put,5215.69,154.74,231.98,-0.75,77.24,3862.0
